Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2015;00:00;00:00;3.006.253;1.160.768,75;261.972,25;9.081.274,75;559.673,5;97.758,25;8.201.767,25;11.800.178,5;6.387.684,5;1.405.692,5;862.461;5.424.207
01.02.2015;00:00;00:00;2.701.292,75;866.154;282.760;4.865.703,75;1.371.004,25;83.894,5;7.498.821,5;11.249.758;7.886.900;1.615.355,25;756.012,75;5.815.809,75
01.03.2015;00:00;00:00;2.945.423,25;1.026.580,5;432.080,75;6.491.865,5;2.858.577,25;71.699,5;7.308.647,5;12.177.191,25;7.320.070,5;1.359.916,25;900.734,75;5.460.914,5
01.04.2015;00:00;00:00;2.855.391,5;1.242.024;378.500,25;4.624.380,5;4.435.389;95.564,25;6.858.361;10.200.744,5;5.994.326,25;850.204;823.908,25;4.534.967,25
01.05.2015;00:00;00:00;2.944.932,75;1.528.050;565.152,75;4.697.643;4.411.590;80.552,5;6.930.788;8.935.801,5;4.295.094,75;866.141,5;898.907,25;3.889.602,5
01.06.2015;00:00;00:00;2.750.167;1.511.476,5;481.568,25;3.613.536,25;4.552.823,25;78.796;6.255.287,25;9.783.882;5.766.222,5;785.123,75;876.902,75;4.372.239
01.07.2015;00:00;00:00;2.806.556,75;1.399.178,5;707.907,25;5.155.261,25;4.917.503;71.349,5;5.087.530;11.028.701,25;6.224.533,5;1.135.721,25;858.051,5;4.329.391,25
01.08.2015;00:00;00:00;2.782.948;1.211.468;570.979,25;3.287.051,25;4.612.571,25;65.168;7.067.481,5;11.690.166;6.408.935,5;854.289,75;803.134,75;3.290.550,75
01.09.2015;00:00;00:00;2.786.036,5;1.081.215,5;768.401,5;4.779.230,25;3.226.526;63.932;7.292.428,5;12.245.022,75;7.751.897,25;880.400;731.724;4.181.930
01.10.2015;00:00;00:00;2.954.435,75;997.070,25;888.200,5;3.094.880,75;1.946.347,25;67.705;6.714.339,75;12.858.702,5;9.756.305,25;1.759.365,5;842.649,5;4.321.350,5
